classic_chart | Coil Pattern | neutral | confidence=0.64 | bars=892-938 | end=2026-03-04
classic_chart | Complex Head and Shoulders | bearish | confidence=0.64 | bars=918-984 | end=2026-05-12
classic_chart | Complex Inverse Head and Shoulders | bullish | confidence=0.64 | bars=902-993 | end=2026-05-26
classic_chart | Compression Pattern | neutral | confidence=0.64 | bars=896-935 | end=2026-02-27
classic_chart | Consolidation Range | neutral | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Continuation Diamond | neutral | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Continuation Head and Shoulders | bearish | confidence=0.68 | bars=208-236 | end=2023-05-17
classic_chart | Cup and Handle Continuation | bullish | confidence=0.64 | bars=908-987 | end=2026-05-15
classic_chart | Cup and Handle | bullish | confidence=0.64 | bars=908-987 | end=2026-05-15
classic_chart | Darvas Box | neutral | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Descending Broadening Wedge | bullish | confidence=0.64 | bars=692-724 | end=2025-04-29
classic_chart | Descending Channel | bearish | confidence=0.64 | bars=995-999 | end=2026-06-08
classic_chart | Descending Scallop | bearish | confidence=0.64 | bars=917-966 | end=2026-04-14
classic_chart | Descending Triangle | bearish | confidence=0.64 | bars=469-505 | end=2024-06-12
classic_chart | Diamond Bottom | bullish | confidence=0.68 | bars=925-974 | end=2026-04-27
classic_chart | Diamond Formation | neutral | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Diamond Top | bearish | confidence=0.68 | bars=933-982 | end=2026-05-08
classic_chart | Double Bottom | bullish | confidence=0.64 | bars=902-987 | end=2026-05-15
classic_chart | Double Top | bearish | confidence=0.64 | bars=912-973 | end=2026-04-24
classic_chart | Eve and Adam Bottom | bullish | confidence=0.64 | bars=902-987 | end=2026-05-15
classic_chart | Eve and Adam Top | bearish | confidence=0.64 | bars=912-973 | end=2026-04-24
classic_chart | Failed Breakout | bearish | confidence=0.68 | bars=963-982 | end=2026-05-08
classic_chart | Falling Wedge | bullish | confidence=0.64 | bars=692-724 | end=2025-04-29
classic_chart | Flat Base | neutral | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Head and Shoulders | bearish | confidence=0.68 | bars=208-236 | end=2023-05-17
classic_chart | High Tight Flag | bullish | confidence=0.68 | bars=107-141 | end=2022-12-26
classic_chart | Horizontal Channel | neutral | confidence=0.64 | bars=999-999 | end=2026-06-08
classic_chart | Horn Bottom | bullish | confidence=0.64 | bars=998-999 | end=2026-06-08
classic_chart | Horn Top | bearish | confidence=0.64 | bars=995-996 | end=2026-06-03
classic_chart | Inside Bar Range | neutral | confidence=0.64 | bars=940-942 | end=2026-03-10
classic_chart | Inverse Head and Shoulders | bullish | confidence=0.64 | bars=673-697 | end=2025-03-18
classic_chart | Inverted Ascending Scallop | bearish | confidence=0.64 | bars=917-966 | end=2026-04-14
classic_chart | Inverted Cup and Handle | bearish | confidence=0.64 | bars=684-763 | end=2025-06-27
classic_chart | Inverted Descending Scallop | bullish | confidence=0.68 | bars=927-976 | end=2026-04-29
classic_chart | Inverted Roof Pattern | bullish | confidence=0.68 | bars=927-976 | end=2026-04-29
classic_chart | Island Reversal | neutral | confidence=0.68 | bars=989-990 | end=2026-05-21
classic_chart | Measured Move Down | bearish | confidence=0.68 | bars=926-961 | end=2026-04-07
classic_chart | Measured Move Up | bullish | confidence=0.64 | bars=966-993 | end=2026-05-26
classic_chart | Megaphone Bottom | neutral | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Megaphone Top | neutral | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Over and Under Pattern | bullish | confidence=0.64 | bars=938-972 | end=2026-04-22
classic_chart | Parallel Channel | neutral | confidence=0.64 | bars=999-999 | end=2026-06-08
classic_chart | Pennant | neutral | confidence=0.64 | bars=892-938 | end=2026-03-04
classic_chart | Pipe Top | bearish | confidence=0.64 | bars=995-996 | end=2026-06-03
classic_chart | Price Channel | neutral | confidence=0.64 | bars=999-999 | end=2026-06-08
